"attackword";"type"
"select";"s"
"union";"s"
"order";"s"
"where";"s"
"dual";"s"
"count";"s"
"sleep";"s"
"benchmark";"s"
"delete";"s"
"insert";"s"
"create";"s"
"alter";"s"
"table";"s"
"drop";"s"
"index";"s"
"boolean";"s"
"like";"s"
"rlike";"s"
"null";"s"
"information";"s"
"schema";"s"
"waitfor";"s"
"delay";"s"
"and";"s"
"dbms";"s"
"chr";"s"
"concat";"s"
"extractvalue";"s"
"char";"s"
"updatexml";"s"
"boolean";"s"
"group";"s"
"ornot";"s"
"makeset";"s"
"allusers";"s"
"casewhen";"s"
"userlock";"s"
"generateseries";"s"
"alert";"x"
"applet";"x"
"base";"x"
"comment";"x"
"embed";"x"
"frame";"x"
"frameset";"x"
"handler";"x"
"iframe";"x"
"import";"x"
"isindex";"x"
"link";"x"
"listener";"x"
"meta";"x"
"noscript";"x"
"object";"x"
"script";"x"
"style";"x"
"vmlframe";"x"
"xml";"x"
"xss";"x"
"onerror";"x"
"img";"x"
"onload";"x"
"logchr";"x"
"alias";"b"
"apropos";"b"
"apt-get";"b"
"aptitude";"b"
"aspell";"b"
"awk";"b"
"basename";"b"
"bash";"b"
"builtin";"b"
"cfdisk";"b"
"chgrp";"b"
"chmod";"b"
"chown";"b"
"chroot";"b"
"chkconfig";"b"
"cksum";"b"
"cron";"b"
"crontab";"b"
"csplit";"b"
"curl";"b"
"ddrescue";"b"
"diff";"b"
"dircolors";"b"
"dirname";"b"
"dirs";"b"
"dmesg";"b"
"echo";"b"
"egrep";"b"
"env";"b"
"etc";"b"
"ethtool";"b"
"eval";"b"
"exec";"b"
"export";"b"
"expr";"b"
"fdformat";"b"
"fdisk";"b"
"fgrep";"b"
"fmt";"b"
"fsck";"b"
"ftp";"b"
"function";"b"
"fuser";"b"
"gawk";"b"
"getopts";"b"
"grep";"b"
"groupadd";"b"
"groupdel";"b"
"groupmod";"b"
"gzip";"b"
"hash";"b"
"hostname";"b"
"htop";"b"
"iconv";"b"
"ifconfig";"b"
"ifdown";"b"
"ifup";"b"
"install";"b"
"killall";"b"
"locate";"b"
"logname";"b"
"lprint";"b"
"lprintd";"b"
"lprintq";"b"
"lprm";"b"
"lsblk";"b"
"lsof";"b"
"mkdir";"b"
"mkfifo";"b"
"mkisofs";"b"
"mknod";"b"
"mtools";"b"
"netstat";"b"
"nohup";"b"
"nslookup";"b"
"opt";"b"
"passwd";"b"
"ping";"b"
"pgrep";"b"
"pkill";"b"
"popd";"b"
"printcap";"b"
"printenv";"b"
"printf";"b"
"proc";"b"
"pushd";"b"
"pwd";"b"
"quotacheck";"b"
"readarray";"b"
"readonly";"b"
"renice";"b"
"remsync";"b"
"rmdir";"b"
"rsync";"b"
"sbin";"b"
"scp";"b"
"sdiff";"b"
"sed";"b"
"sftp";"b"
"shopt";"b"
"shutdown";"b"
"slocate";"b"
"ssh";"b"
"strace";"b"
"sudo";"b"
"suspend";"b"
"sync";"b"
"timeout";"b"
"tmp";"b"
"tput";"b"
"tsort";"b"
"tty";"b"
"type";"b"
"ulimit";"b"
"umask";"b"
"umount";"b"
"unalias";"b"
"uname";"b"
"unexpand";"b"
"uniq";"b"
"unrar";"b"
"unshar";"b"
"uptime";"b"
"useradd";"b"
"userdel";"b"
"usermod";"b"
"usr";"b"
"uuencode";"b"
"uudecode";"b"
"vdir";"b"
"vmstat";"b"
"whereis";"b"
"whoami";"b"
"wget";"b"
"xargs";"b"
"xdg-open";"b"
